TCEAL9
C20orf202
VPS53
VPS13B
STRIP2
ZFAND1
ABCB10
B3GAT1
PCNX3
AHCYL2
ECH1
TMEM116
C11orf84
IGSF9B
SLC12A8
NTM
ZNF678
NIPAL2
ST14
EPRS
LGALS4
RAB1B
LYST
KCNJ5
POT1
MAPKAPK5
TMEM229A
LIMD2
RPL22L1
AP4M1
MYRF
HOXB13
MAD1L1
EFCAB1
ATPAF2
GABRA6
SELPLG
CEACAM3
RPL8
GGPS1
SLC15A3
ADAMDEC1
OTUB2
CLMP
RIBC2
RPL5
ZKSCAN1
CRTAM
OR2L13
CEACAM5
PRLR
RECQL4
FJX1
GLRA4
TMEM31
EIF5B
ABCC8
NRXN2
SLAMF6
OBSCN
PRKDC
THRSP
KCTD14
BCL9
HEG1
PIH1D1
C8orf76
PCDHB9
BOD1
ENG
TARBP1
GPR37L1
SNRPD2
SLC39A4
FBXO22
CXorf36
SORBS2
C11orf68
FLNA
RPL23
MFSD4A
MKLN1
MT-ND1
SYNE1
CPSF1
MT-CO3
MYL5
CREBRF
MT-ND4
MFSD7
KIF13A
POLR3G
CCDC63
CHAD
VN1R5
ZNF84
FAM83A-AS1
CLSTN3
GDPD4
PIK3C2G
OR52A4P
F5
BEX4
SASH1
PAPPA2
TREH
POMGNT1
MYBBP1A
PPP1CC
RAD1
C6orf48
SPNS2
IQGAP1
OTOP3
PNLDC1
GPATCH2
MAGI2
IGHA1
CPNE3
TAC3
LSM2
SPNS3
EPHX4
FAM131B
TTC36
SAMD5
BBS9
FBXO36
LRP5
ATF5
KLHL10
MPV17L2
TREML4
PSD
FIBP
TYW3
CHMP7
CTSW
GS1-393G12.12
NCOR1
DGAT1
MRPL18
PIGL
PNKP
FAM98A
NEURL1B
ZSWIM7
METTL1
RP11-770J1.4
AHCTF1
PDE8A
ITGB5
ESRRA
SLC5A8
TRMT112
DPF2
HCFC2
LRRC59
CHRM1
YWHAZ
ARL6
CAPN8
ZSCAN25
MPZL2
ZDHHC16
GNAS
UBTD2
ATP11AUN
NLRP2
SERHL2
UGT2B11
DUSP21
OR6C4
CSPG4
NT5E
ACER3
CAPN12
GPR182
XYLT2
GUK1
TCTN1
TMPRSS4
RDH16
TNFRSF10A
CAV1
PTPRH
SDR9C7
TM9SF4
AC092664.1
OR6C75
C12orf29
SYT5
VARS
TMPRSS13
TENM2
STK10
CRYBB3
ACKR3
CDH12
DEFB132
OR6C74
OR10A7
OOSP2
PECR
SPIDR
